model,best_params,f1,pr_auc,accuracy,balanced_acc,precision,recall,f1_std,pr_auc_std,accuracy_std,balanced_acc_std,precision_std,recall_std
GradientBoosting,"{'class_weight': None, 'learning_rate': 0.1, 'max_depth': 6, 'max_iter': 200}",0.8369885916548272,0.9365422103846951,0.931861111111111,0.8803035714285713,0.8933107233143527,0.7875,0.010581010924055737,0.003966279679279527,0.004105664560272982,0.007850717746337143,0.010268754060308426,0.015375508121684964
RandomForest,"{'class_weight': 'balanced', 'max_depth': None, 'n_estimators': 400}",0.8255774723279586,0.9257607419525881,0.9203055555555556,0.8947946428571429,0.8035493412703572,0.8488749999999999,0.010987412579341728,0.005075875494971673,0.004847520684857739,0.007905926074270906,0.009237709602948651,0.013598023753472405
SVM_RBF,"{'C': 10, 'class_weight': None, 'gamma': 'auto'}",0.8039941372931277,0.903331994519435,0.9180833333333333,0.8602410714285714,0.8585341773273429,0.756125,0.005918499433595508,0.00548924792326235,0.00231973551067922,0.004772954070722315,0.009500537297021517,0.010763073445814635
LogisticRegression,"{'C': 1, 'class_weight': None, 'l1_ratio': 0.5}",0.766271434913247,0.8572499259180135,0.8973055555555556,0.8474196428571428,0.77520249484346,0.757625,0.006593034321092902,0.0035417266780336768,0.002636109647581852,0.0050579706999982574,0.006464700910521643,0.010318369541744489
GaussianNB,{'var_smoothing': 1e-07},0.6333895803094862,0.8208757129325,0.744,0.8336875000000001,0.46453139703331525,0.995125,0.0030171482797738468,0.003992379069931317,0.0026343528265619204,0.0026985268562454015,0.0026468240593991482,0.0031474195780035377
